file,0011.fd2,,,,
date,2015-Sep-17 01:15:42,,,,
desc,FFT Data,,,,
note,,,,,
ch_name,Ch2,,,,
ch_type,Cross Spectrum,,,,
x_unit,Hz,,,,
y_unit,mm/s*mm/s,,,,
window,Rectangular,1.00E+00,,,
weighting,None,,,,
detection,rms,,,,
overall,0.000000e+000 rms,,,,
ref_ch_name,Ch1,,,,
ref_ch_id,+1X,,,,
ref_y_unit,mm/s,,,,
db_ref,1.00E+00,,,,
slice,Off,0.00E+00,,,
rpm,2.81E+03,,,,
time,2015-Sep-17 01:15:42,,,,
data,,,,,
x,y(re),y(im),y(magn),y(rad),y(dB)
1.73E+02,-0.551317,1.37E-03,1.38E-03,1.65E+00,-5.72E+01
1.75E+02,0.000458,9.87E-04,1.00E-03,1.75E+00,-6.00E+01
1.78E+02,-0.057985,-4.21E-04,1.08E-03,-4.00E-01,-5.93E+01
1.80E+02,-0.03235,1.15E-03,1.20E-03,1.29E+00,-5.84E+01
1.83E+02,-0.670034,1.59E-03,1.66E-03,1.29E+00,-5.56E+01
1.85E+02,-0.834223,1.56E-03,1.57E-03,1.45E+00,-5.61E+01
1.88E+02,-1.320841,4.88E-03,5.29E-03,1.17E+00,-4.55E+01
1.90E+02,-1.170842,3.35E-03,3.93E-03,1.02E+00,-4.81E+01
1.93E+02,-1.14307,3.68E-04,6.05E-04,6.53E-01,-6.44E+01
1.95E+02,-1.186712,5.27E-03,5.46E-03,1.31E+00,-4.53E+01
1.98E+02,-1.324961,3.91E-03,4.04E-03,1.82E+00,-4.79E+01
2.00E+02,-0.384075,7.74E-03,7.75E-03,1.63E+00,-4.22E+01
2.03E+02,-0.28077,1.12E-04,1.29E-03,3.05E+00,-5.78E+01
2.05E+02,0.260475,-2.39E-02,3.24E-02,-8.31E-01,-2.98E+01
2.08E+02,0.666219,-1.11E-03,2.98E-03,-3.81E-01,-5.05E+01
2.10E+02,0.57802,-2.10E-03,2.41E-03,-2.08E+00,-5.24E+01
2.13E+02,0.861232,-4.57E-04,1.04E-03,-4.56E-01,-5.97E+01
2.15E+02,1.623432,1.84E-04,4.34E-04,4.39E-01,-6.72E+01
2.18E+02,1.096377,-1.54E-04,3.08E-04,-5.23E-01,-7.02E+01
2.20E+02,0.961791,1.19E-04,2.45E-04,5.06E-01,-7.22E+01
2.23E+02,1.276131,4.40E-04,4.99E-04,1.08E+00,-6.60E+01
2.25E+02,0.534989,-1.21E-04,1.83E-04,-2.42E+00,-7.48E+01
2.28E+02,0.307321,-2.16E-04,2.19E-04,-1.74E+00,-7.32E+01
2.30E+02,-0.480361,-5.35E-05,1.90E-04,-2.85E-01,-7.44E+01
2.33E+02,-0.421155,5.88E-05,3.55E-04,1.67E-01,-6.90E+01
2.35E+02,0.834834,1.64E-04,1.22E-03,3.01E+00,-5.83E+01
2.38E+02,0.368511,1.78E-04,1.99E-04,2.03E+00,-7.40E+01
2.40E+02,0.784173,7.11E-04,7.11E-04,1.53E+00,-6.30E+01
2.43E+02,0.015107,8.94E-05,1.31E-04,2.39E+00,-7.77E+01
2.45E+02,0.6798,7.87E-04,8.34E-04,1.23E+00,-6.16E+01
2.48E+02,0.580309,-2.95E-04,5.28E-04,-2.55E+00,-6.56E+01
2.50E+02,0.031434,-5.96E-04,1.93E-03,-3.13E-01,-5.43E+01
2.53E+02,-0.460372,-3.91E-03,8.08E-03,-5.04E-01,-4.18E+01
2.55E+02,-0.744499,-3.17E-06,3.43E-04,-9.23E-03,-6.93E+01
2.58E+02,-0.985137,-1.31E-04,6.63E-04,-1.99E-01,-6.36E+01
2.60E+02,-0.829798,2.40E-04,3.25E-04,8.33E-01,-6.98E+01
2.63E+02,-0.73336,2.79E-04,2.79E-04,1.55E+00,-7.11E+01
2.65E+02,-1.020844,5.36E-05,1.94E-04,2.80E-01,-7.42E+01
2.68E+02,-0.659505,9.09E-05,2.33E-04,4.01E-01,-7.27E+01
2.70E+02,-0.395825,-1.25E-05,1.33E-04,-9.41E-02,-7.75E+01
2.73E+02,-0.516678,6.37E-04,9.37E-04,7.48E-01,-6.06E+01
2.75E+02,0.298624,1.86E-04,3.65E-04,5.34E-01,-6.87E+01
2.78E+02,0.60564,4.97E-04,6.45E-04,8.81E-01,-6.38E+01
2.80E+02,0.512863,5.03E-04,7.05E-04,7.95E-01,-6.30E+01
2.83E+02,1.263466,3.79E-04,9.81E-04,3.96E-01,-6.02E+01
2.85E+02,0.984832,4.12E-04,9.74E-04,4.36E-01,-6.02E+01
2.88E+02,0.808435,2.86E-04,8.10E-04,3.60E-01,-6.18E+01
2.90E+02,1.62862,9.24E-04,1.02E-03,1.14E+00,-5.99E+01
2.93E+02,1.554612,2.16E-03,3.62E-03,6.39E-01,-4.88E+01
2.95E+02,0.87817,6.17E-03,7.53E-03,9.62E-01,-4.25E+01
2.98E+02,0.248726,2.84E-02,3.65E-02,8.93E-01,-2.88E+01
3.00E+02,-1.006958,7.78E-02,9.27E-02,9.96E-01,-2.07E+01
3.03E+02,-1.563615,5.93E-03,6.63E-03,1.11E+00,-4.36E+01
3.05E+02,-1.166112,1.85E-03,2.25E-03,9.61E-01,-5.30E+01
3.08E+02,-1.068148,4.95E-04,5.71E-04,1.05E+00,-6.49E+01
3.10E+02,-0.917539,6.72E-04,7.03E-04,1.27E+00,-6.31E+01
3.13E+02,-0.824305,2.31E-04,2.34E-04,1.41E+00,-7.26E+01
3.15E+02,-0.394909,2.27E-04,2.49E-04,1.15E+00,-7.21E+01
3.18E+02,0.017396,5.25E-05,5.50E-05,1.27E+00,-8.52E+01
3.20E+02,0.030976,2.34E-05,7.03E-05,2.80E+00,-8.31E+01
3.23E+02,0.277871,2.67E-05,4.08E-05,2.43E+00,-8.78E+01
3.25E+02,-0.101627,3.59E-06,4.14E-05,3.05E+00,-8.77E+01
3.28E+02,-0.231483,-5.97E-07,2.68E-04,-3.14E+00,-7.14E+01
3.30E+02,-0.543229,2.39E-06,3.36E-05,3.07E+00,-8.95E+01
3.33E+02,-0.690939,2.50E-05,4.16E-05,2.50E+00,-8.76E+01
3.35E+02,-1.060518,-1.29E-05,1.68E-05,-2.27E+00,-9.55E+01
3.38E+02,-1.325113,-7.64E-05,7.69E-05,-1.69E+00,-8.23E+01
3.40E+02,-1.252632,1.51E-05,2.34E-05,7.02E-01,-9.26E+01
3.43E+02,-1.162602,1.58E-06,1.51E-05,3.04E+00,-9.64E+01
3.45E+02,-0.271615,-4.38E-05,1.45E-04,-2.83E+00,-7.68E+01
3.48E+02,0.143132,1.03E-05,1.67E-05,2.47E+00,-9.55E+01
3.50E+02,-0.228584,-5.93E-06,2.69E-05,-2.92E+00,-9.14E+01
3.53E+02,0.595111,-6.56E-06,3.87E-05,-1.70E-01,-8.82E+01
3.55E+02,0.702994,6.27E-06,6.30E-06,1.67E+00,-1.04E+02
